epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,9293.97,1.05929,0.54365,1.61233,0.83977,0.64799,0.76338,0.4531,1.2603,0.55069,1.79409,5.70564e-05,5.70564e-05,5.70564e-05
137,9364.91,1.06602,0.54539,1.62088,0.91679,0.60927,0.76415,0.45255,1.26672,0.54827,1.80482,5.18885e-05,5.18885e-05,5.18885e-05
138,9436.99,1.0579,0.54041,1.62496,0.92235,0.61031,0.76639,0.45115,1.26317,0.55121,1.80135,4.7067e-05,4.7067e-05,4.7067e-05
139,9509.63,1.05832,0.52785,1.61281,0.91539,0.61629,0.76936,0.45293,1.27333,0.54592,1.81047,4.25941e-05,4.25941e-05,4.25941e-05
140,9579.68,1.06032,0.53245,1.61935,0.88237,0.6311,0.76858,0.45608,1.26669,0.54606,1.80366,3.84718e-05,3.84718e-05,3.84718e-05
141,9650.68,1.04725,0.52351,1.61757,0.92401,0.60922,0.76182,0.45324,1.26167,0.54728,1.79906,3.47018e-05,3.47018e-05,3.47018e-05
142,9726.88,1.04933,0.52218,1.61823,0.8985,0.61742,0.76348,0.45018,1.26839,0.54386,1.80588,3.12859e-05,3.12859e-05,3.12859e-05
143,9801.82,1.05802,0.54047,1.61134,0.91112,0.61657,0.76318,0.45076,1.26202,0.54423,1.7989,2.82256e-05,2.82256e-05,2.82256e-05
144,9876.17,1.06,0.53642,1.61742,0.85859,0.6468,0.76617,0.45219,1.25931,0.54832,1.79536,2.55221e-05,2.55221e-05,2.55221e-05
145,9950.94,1.05529,0.53488,1.62169,0.87367,0.63087,0.76555,0.45334,1.26209,0.54218,1.79754,2.31767e-05,2.31767e-05,2.31767e-05
146,10028.1,1.04674,0.52561,1.6034,0.87859,0.63362,0.76554,0.45286,1.25818,0.54859,1.79579,2.11903e-05,2.11903e-05,2.11903e-05
147,10103.5,1.04221,0.51708,1.61736,0.87457,0.62878,0.76194,0.45148,1.2559,0.56324,1.79307,1.9564e-05,1.9564e-05,1.9564e-05
148,10183.7,1.04561,0.51124,1.61154,0.88599,0.62871,0.76447,0.45162,1.26004,0.55749,1.79628,1.82983e-05,1.82983e-05,1.82983e-05
149,10256.5,1.05672,0.53322,1.6194,0.8706,0.63632,0.76772,0.4526,1.25873,0.55777,1.79493,1.73938e-05,1.73938e-05,1.73938e-05
150,10332.1,1.03774,0.51693,1.61116,0.87587,0.63157,0.76418,0.45161,1.25978,0.55945,1.7961,1.6851e-05,1.6851e-05,1.6851e-05
